,player,team,game,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,Jrue_Holiday,Milwaukee Bucks,8141,4.0,PG,21:00,2.0,7.0,28.6,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,5.0,4.0,3.0,1.0,2.0,0.0,-9,
1,Jrue_Holiday,Milwaukee Bucks,8154,11.0,PG,29:38,5.0,12.0,41.7,0.0,0.0,0.0,1.0,4.0,25.0,0.0,4.0,4.0,6.0,4.0,1.0,1.0,0.0,-8,
2,Jrue_Holiday,Milwaukee Bucks,7502,15.0,SG,26:22,4.0,7.0,57.1,5.0,5.0,100,2.0,3.0,66.7,1.0,3.0,4.0,5.0,3.0,0.0,4.0,1.0,10,
3,Jrue_Holiday,Milwaukee Bucks,7511,25.0,PG,38:22,10.0,16.0,62.5,4.0,4.0,100,1.0,4.0,25.0,2.0,4.0,6.0,3.0,3.0,2.0,3.0,1.0,-5,
4,Jrue_Holiday,Milwaukee Bucks,7514,12.0,PG,25:22,6.0,9.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,6.0,1.0,0.0,3.0,1.0,23,
5,Jrue_Holiday,Milwaukee Bucks,7544,8.0,PG,27:55,4.0,10.0,40.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,5.0,0.0,2.0,3.0,0.0,-9,
6,Jrue_Holiday,Milwaukee Bucks,8232,24.0,PG,26:09,9.0,15.0,60.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,3.0,3.0,7.0,1.0,3.0,0.0,1.0,27,
7,Jrue_Holiday,Milwaukee Bucks,8239,13.0,PG,33:57,4.0,15.0,26.7,2.0,2.0,100,3.0,7.0,42.9,1.0,3.0,4.0,5.0,5.0,2.0,0.0,1.0,-1,
8,Jrue_Holiday,Milwaukee Bucks,8254,11.0,PG,25:56,4.0,9.0,44.4,0.0,0.0,0.0,3.0,6.0,50.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,27,
9,Jrue_Holiday,Milwaukee Bucks,8280,15.0,PG,34:12,6.0,10.0,60.0,1.0,1.0,100,2.0,3.0,66.7,1.0,5.0,6.0,7.0,1.0,3.0,1.0,0.0,16,
10,Jrue_Holiday,Milwaukee Bucks,8294,10.0,PG,30:04,4.0,11.0,36.4,2.0,2.0,100,0.0,3.0,0.0,2.0,3.0,5.0,6.0,2.0,0.0,1.0,0.0,10,
11,Jrue_Holiday,Milwaukee Bucks,8310,17.0,PG,33:42,7.0,14.0,50.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,4.0,4.0,5.0,4.0,2.0,2.0,1.0,-11,
12,Jrue_Holiday,Milwaukee Bucks,8318,15.0,PG,36:16,5.0,12.0,41.7,5.0,7.0,71.4,0.0,2.0,0.0,1.0,5.0,6.0,4.0,4.0,4.0,2.0,1.0,10,
13,Jrue_Holiday,Milwaukee Bucks,8332,11.0,PG,29:34,3.0,10.0,30.0,5.0,5.0,100,0.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,-2,
14,Jrue_Holiday,Milwaukee Bucks,8346,21.0,PG,36:51,8.0,13.0,61.5,2.0,3.0,66.7,3.0,5.0,60.0,1.0,5.0,6.0,5.0,2.0,3.0,1.0,1.0,5,
15,Jrue_Holiday,Milwaukee Bucks,8363,16.0,PG,34:59,7.0,15.0,46.7,1.0,1.0,100,1.0,4.0,25.0,0.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,1,
16,Jrue_Holiday,Milwaukee Bucks,7717,22.0,PG,37:20,8.0,16.0,50.0,4.0,4.0,100,2.0,4.0,50.0,2.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,3,
