,player,team,game,points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
0,Marquese_Chriss,Golden State Warriors,8143,3,,14:27,1,3,33.3,1,2,50.0,0,2,0.0,0,3,3,2,2,0,1,1,6,
1,Marquese_Chriss,Golden State Warriors,8159,17,,18:38,7,11,63.6,0,0,0.0,3,4,75.0,1,8,9,2,1,1,2,0,0,
2,Marquese_Chriss,Golden State Warriors,8169,9,,20:15,4,12,33.3,1,2,50.0,0,3,0.0,4,8,12,1,4,0,1,0,10,
3,Marquese_Chriss,Golden State Warriors,7509,9,,12:26,4,10,40.0,0,0,0.0,1,3,33.3,3,5,8,1,2,0,0,0,-6,
4,Marquese_Chriss,Golden State Warriors,7514,4,,14:17,1,4,25.0,2,4,50.0,0,2,0.0,0,5,5,1,1,0,2,2,-19,
5,Marquese_Chriss,San Antonio Spurs,8206,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Jordan_Clarkson,Utah Jazz,8144,19,,22:14,7,15,46.7,0,0,0.0,5,10,50.0,0,3,3,0,3,0,3,0,4,
7,Jordan_Clarkson,Utah Jazz,8156,12,,22:58,5,9,55.6,1,1,100,1,5,20.0,0,4,4,0,2,0,0,0,6,
8,Jordan_Clarkson,Utah Jazz,8170,20,,19:04,7,15,46.7,1,1,100,5,12,41.7,1,2,3,1,0,2,1,0,-2,
9,Jordan_Clarkson,Utah Jazz,7528,15,,22:09,6,12,50.0,0,0,0.0,3,6,50.0,1,6,7,1,0,0,1,1,16,
10,Jordan_Clarkson,Utah Jazz,7536,23,,23:04,8,17,47.1,5,6,83.3,2,6,33.3,1,2,3,0,0,0,0,0,6,
11,Jordan_Clarkson,Utah Jazz,8224,16,,25:42,5,10,50.0,4,4,100,2,5,40.0,2,2,4,2,1,1,3,0,5,
12,Jordan_Clarkson,Utah Jazz,8249,12,,19:27,5,11,45.5,0,0,0.0,2,5,40.0,2,3,5,2,3,2,1,0,-14,
13,Jordan_Clarkson,Utah Jazz,8258,9,,21:00,3,7,42.9,1,1,100,2,5,40.0,2,3,5,2,1,1,3,1,5,
14,Jordan_Clarkson,Utah Jazz,8270,18,,23:26,8,13,61.5,0,0,0.0,2,6,33.3,0,3,3,3,1,2,4,0,20,
15,Jordan_Clarkson,Utah Jazz,8283,12,,19:56,5,13,38.5,0,0,0.0,2,5,40.0,1,1,2,0,0,2,4,0,-14,
16,Jordan_Clarkson,Utah Jazz,8293,19,,24:44,7,12,58.3,2,2,100,3,5,60.0,0,3,3,2,4,1,0,0,2,
17,Jordan_Clarkson,Utah Jazz,8310,26,,34:45,10,20,50.0,1,1,100,5,12,41.7,1,5,6,2,3,0,1,1,16,
18,Jordan_Clarkson,Utah Jazz,8322,18,,25:06,7,15,46.7,1,1,100,3,7,42.9,2,2,4,0,1,0,2,0,0,
19,Jordan_Clarkson,Utah Jazz,8340,21,,28:08,8,14,57.1,0,0,0.0,5,9,55.6,1,7,8,4,1,2,4,0,22,
20,Jordan_Clarkson,Utah Jazz,8367,16,,28:05,6,17,35.3,0,0,0.0,4,12,33.3,1,6,7,4,2,0,2,0,8,
21,Jordan_Clarkson,Utah Jazz,7708,23,,29:41,9,13,69.2,1,1,100,4,8,50.0,0,3,3,1,1,2,1,1,-1,
22,Jordan_Clarkson,Utah Jazz,7722,18,,29:26,6,15,40.0,2,2,100,4,9,44.4,0,6,6,6,2,0,1,0,3,
23,Jordan_Clarkson,Utah Jazz,7735,19,,23:55,6,15,40.0,4,4,100,3,10,30.0,1,2,3,0,1,2,2,0,-6,
24,Jordan_Clarkson,Utah Jazz,7750,14,,18:36,5,10,50.0,3,3,100,1,5,20.0,0,2,2,1,1,1,1,0,12,
25,Jordan_Clarkson,Utah Jazz,7778,13,,23:52,5,16,31.2,1,1,100,2,10,20.0,1,4,5,4,1,3,0,0,10,
26,Jordan_Clarkson,Utah Jazz,7790,31,,32:54,11,21,52.4,5,5,100,4,11,36.4,2,5,7,0,2,1,2,1,7,
27,Jordan_Clarkson,Utah Jazz,7805,18,,30:29,5,16,31.2,4,4,100,4,12,33.3,1,5,6,1,1,0,2,0,14,
28,Jordan_Clarkson,Utah Jazz,7814,13,,25:19,4,13,30.8,1,1,100,4,11,36.4,0,3,3,2,2,0,0,1,-12,
29,Jordan_Clarkson,Utah Jazz,7833,12,,21:45,5,10,50.0,0,0,0.0,2,6,33.3,0,0,0,1,1,0,2,0,0,
30,Jordan_Clarkson,Utah Jazz,8519,23,,24:56,9,13,69.2,0,0,0.0,5,8,62.5,1,6,7,0,2,0,4,0,11,
31,Jordan_Clarkson,Utah Jazz,8523,15,,23:36,6,15,40.0,0,0,0.0,3,8,37.5,0,1,1,3,1,1,2,1,10,
32,Jordan_Clarkson,Utah Jazz,8544,17,,30:01,7,19,36.8,0,0,0.0,3,10,30.0,3,2,5,1,3,0,2,0,4,
33,Jordan_Clarkson,Utah Jazz,8560,13,,27:31,4,15,26.7,3,3,100,2,10,20.0,1,1,2,5,2,0,1,0,-4,
34,Jordan_Clarkson,Utah Jazz,8583,25,,30:42,10,18,55.6,1,1,100,4,11,36.4,0,4,4,5,1,1,2,0,8,
35,Jordan_Clarkson,Utah Jazz,8591,11,,28:56,4,15,26.7,1,1,100,2,9,22.2,1,3,4,5,2,2,3,0,6,
36,Jordan_Clarkson,Utah Jazz,8604,40,,29:21,13,20,65.0,6,7,85.7,8,13,61.5,0,0,0,1,0,2,2,0,9,
37,Jordan_Clarkson,Utah Jazz,8625,18,,33:15,7,23,30.4,0,0,0.0,4,12,33.3,2,2,4,3,1,2,2,0,18,
38,Jordan_Clarkson,Utah Jazz,8638,19,,27:12,9,17,52.9,0,0,0.0,1,7,14.3,0,1,1,0,1,2,0,0,-15,
39,Jordan_Clarkson,Utah Jazz,8659,20,,24:38,7,15,46.7,1,1,100,5,10,50.0,0,2,2,4,2,2,2,0,15,
